taxsimid,year,state,mstat,page,sage,depx,pwages,psemp,swages,ssemp,dividends,intrec,stcg,ltcg,otherprop,nonprop,pensions,gssi,pui,sui,transfers,rentpaid,proptax,otheritem,childcare,mortgage,scorp,idtl,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11
88062,2025,1,1,35,0,3,29558.275390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,14.0,12.0,9.0,,,,,,,,
88063,2025,1,1,59,0,0,103750.72656249985,0.0,0.0,0.0,0.0,101.046142578125,0.0,759.3593749999898,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88064,2025,1,2,38,33,3,2118186.75,4288.03564453125,97304.390625,0.0,90009.396484375,62138.2702331543,338.5226135253906,2743066.7294921875,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2103600.8325195312,2,13.0,9.0,9.0,,,,,,,,
88065,2025,1,2,59,53,1,215333.65625,35567.4296875,15410.6591796875,0.0,15994.98046875,6410.77880859375,0.0,384154.5,0,0,3147.2314453125,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,170377.234375,2,18.0,,,,,,,,,,
88066,2025,1,2,36,32,0,134707.78125,0.0,33767.01953125,0.0,4099.986831665039,1270.0738096237183,0.0,9457.4091796875,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,16715.591796875,2,,,,,,,,,,,
88067,2025,1,2,61,59,0,110044.1796875,0.0,12175.333984375,0.0,5004.83203125,2805.542236328125,0.0,4406.99658203125,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,26167.5078125,2,,,,,,,,,,,
88068,2025,1,2,45,43,1,111541.4609375,2275.3498535156173,0.0,-143540.625,2135.904541015625,404.31643676757585,-524197.875,-521572.0673828125,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-690083.9296875002,2,14.0,,,,,,,,,,
88069,2025,1,1,33,0,3,3430.6591796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,8.0,6.0,1.0,,,,,,,,
88070,2025,1,2,66,61,0,0.0,-2643263.5,57242.94921875,0.0,843.356201171875,141.3330841064453,-497453.125,-142691.49850463867,0,0,7.63417387008667,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-42486176.0,2,,,,,,,,,,,
88071,2025,1,1,76,0,0,46177.3828125,301.29864501953125,0.0,0.0,30798.54296875,16874.70703125,0.0,48137.9609375,0,0,37470.0078125,2206.516853932584,0.0,0.0,0,0.0,0.0,0,0.0,0.0,83.05635070800781,2,,,,,,,,,,,
